Budget,Cities Name,Name,Date Of Birth,Description
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Biking
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Fine Dining
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Food Markets
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Hiking
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Historic Sites
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,History Museums
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Parks + Gardens
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,Spas
1000,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,10/11/1981,"Spectator Sports (MLB, NHL, etc.)"
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Art Galleries
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Art Museums
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Bakeries + Desserts
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Bookstores
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Cafes + Coffee Shops
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Cocktails
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Comedy Clubs
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Hole-In-The-Wall Restaurants
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Live Music
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Parks + Gardens
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Plays
1000,Cleveland,Cleveland-Hopkins International Airport,10/21/1991,Wine
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Art Museums
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Biking
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Craft Beer
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Fine Dining
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Hiking
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Historic Sites
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,History Museums
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Hole-In-The-Wall Restaurants
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Parks + Gardens
1000,Cleveland,Cleveland-Hopkins International Airport,3/1/1993,Wine
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Art Galleries
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Art Museums
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Bakeries + Desserts
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Bookstores
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Cafes + Coffee Shops
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Cocktails
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Comedy Clubs
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Hole-In-The-Wall Restaurants
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Live Music
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Parks + Gardens
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Plays
1000,Columbus,John Glenn Columbus International Airport,10/21/1991,Wine
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Antiques/Flea Markets
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Art Galleries
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Art Museums
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Comedy Clubs
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Craft Beer
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Historic Sites
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,History Museums
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Hole-In-The-Wall Restaurants
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Musical Theater
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Parks + Gardens
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Plays
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Thrift Stores
1000,Detroit,Detroit Metropolitan Wayne County Airport,3/9/1991,Wine
1000,Houston,George Bush Intercontinental Airport,5/7/1984,Food Markets
1000,Houston,George Bush Intercontinental Airport,5/7/1984,Historic Sites
1000,Houston,George Bush Intercontinental Airport,5/7/1984,History Museums
1000,Houston,George Bush Intercontinental Airport,5/7/1984,Hole-In-The-Wall Restaurants
1000,Houston,George Bush Intercontinental Airport,5/7/1984,Local Boutiques
1000,Houston,George Bush Intercontinental Airport,5/7/1984,Parks + Gardens
1000,Houston,William P. Hobby Airport,5/7/1984,Food Markets
1000,Houston,William P. Hobby Airport,5/7/1984,Historic Sites
1000,Houston,William P. Hobby Airport,5/7/1984,History Museums
1000,Houston,William P. Hobby Airport,5/7/1984,Hole-In-The-Wall Restaurants
1000,Houston,William P. Hobby Airport,5/7/1984,Local Boutiques
1000,Houston,William P. Hobby Airport,5/7/1984,Parks + Gardens
1000,Los Angeles,Los Angeles International Airport,8/4/1976,Biking
1000,Los Angeles,Los Angeles International Airport,8/4/1976,Hiking
1000,Los Angeles,Los Angeles International Airport,8/4/1976,Live Music
1000,Los Angeles,Los Angeles International Airport,8/4/1976,Parks + Gardens
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Antiques/Flea Markets
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Bakeries + Desserts
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Cafes + Coffee Shops
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Cocktails
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Craft Beer
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Food Markets
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Historic Sites
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,History Museums
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Hole-In-The-Wall Restaurants
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Live Music
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Local Boutiques
1000,Milwaukee,Milwaukee Mitchell International Airport,7/15/1984,Musical Theater
