Order Id,Budget,Cities Name,,Date Of Birth,Description
6946,1970,Savannah,,11/25/1968,Art Galleries
6946,1970,Savannah,,11/25/1968,Art Museums
6946,1970,Savannah,,11/25/1968,Bookstores
6946,1970,Savannah,,11/25/1968,Historic Sites
6946,1970,Savannah,,11/25/1968,History Museums
6946,1970,Savannah,,11/25/1968,Hole-In-The-Wall Restaurants
6946,1970,Savannah,,11/25/1968,Live Music
6946,1970,Savannah,,11/25/1968,Musical Theater
6946,1970,Savannah,,11/25/1968,Parks + Gardens
6946,1970,Savannah,,11/25/1968,Spas
6946,1970,Savannah,,2/15/1971,Art Galleries
6946,1970,Savannah,,2/15/1971,Art Museums
6946,1970,Savannah,,2/15/1971,Bookstores
6946,1970,Savannah,,2/15/1971,Historic Sites
6946,1970,Savannah,,2/15/1971,History Museums
6946,1970,Savannah,,2/15/1971,Hole-In-The-Wall Restaurants
6946,1970,Savannah,,2/15/1971,Live Music
6946,1970,Savannah,,2/15/1971,Musical Theater
6946,1970,Savannah,,2/15/1971,Parks + Gardens
6946,1970,Savannah,,2/15/1971,Spas
7014,2000,Chicago,,1/7/1971,Art Galleries
7014,2000,Chicago,,1/7/1971,Art Museums
7014,2000,Chicago,,1/7/1971,Cocktails
7014,2000,Chicago,,1/7/1971,Craft Beer
7014,2000,Chicago,,1/7/1971,Fine Dining
7014,2000,Chicago,,1/7/1971,Historic Sites
7014,2000,Chicago,,1/7/1971,History Museums
7014,2000,Chicago,,1/7/1971,Hole-In-The-Wall Restaurants
7014,2000,Chicago,,1/7/1971,Parks + Gardens
7014,2000,Chicago,,1/7/1971,Wine
7014,2000,Chicago,,3/25/1972,Art Galleries
7014,2000,Chicago,,3/25/1972,Art Museums
7014,2000,Chicago,,3/25/1972,Cocktails
7014,2000,Chicago,,3/25/1972,Craft Beer
7014,2000,Chicago,,3/25/1972,Fine Dining
7014,2000,Chicago,,3/25/1972,Historic Sites
7014,2000,Chicago,,3/25/1972,History Museums
7014,2000,Chicago,,3/25/1972,Hole-In-The-Wall Restaurants
7014,2000,Chicago,,3/25/1972,Parks + Gardens
7014,2000,Chicago,,3/25/1972,Wine
